[06:57:06]	Г@H3NK has connected.
[11:37:59]	D8.MPF-BLADE.57989 exited observer at their location.
[11:37:59]	D8.MPF-BLADE.57989 entered observer.
[11:38:01]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:38:14]	Александр Климов entered observer.
[11:38:21]	Александр Климов exited observer at their location.
[11:39:29]	Александр Климов has spawned 'models/props_debris/metal_panel02a.mdl'.
[11:39:45]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:39:59]	Александр Климов entered observer.
[11:40:01]	D8.MPF-BLADE.57989 has gained 100 tokens.
[11:40:47]	Александр Климов exited observer at their location.
[11:41:04]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:41:08]	Александр Климов entered observer.
[11:41:23]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.pinimg.com/originals/dc/b2/dd/dcb2ddaec11ee607494254c20febefa6.jpg 10 20 50'.
[11:41:27]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:41:30]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.pinimg.com/originals/dc/b2/dd/dcb2ddaec11ee607494254c20febefa6.jpg 10 20 50'.
[11:41:32]	D8.MPF-BLADE.57989 exited observer at their location.
[11:41:34]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:41:37]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.pinimg.com/originals/dc/b2/dd/dcb2ddaec11ee607494254c20febefa6.jpg 10 20 50'.
[11:41:38]	D8.MPF-BLADE.57989 entered observer.
[11:42:40]	Александр Климов exited observer at their location.
[11:43:03]	Александр Климов has spawned 'models/props_phx/construct/glass/glass_plate1x1.mdl'.
[11:44:08]	D8.MPF-BLADE.57989 used command '/PanelAdd https://steamuserimages-a.akamaihd.net/ugc/271715193877535852/EA9BB2EF988197898C9C57C8E8C49202B4C53006/?imw=512&amp;imh=898&amp;ima=fit&amp;impolicy=Letterbox&amp;imcolor=%23000000&amp;letterbox=true 10 25 50'.
[11:44:09]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:44:09]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:44:11]	D8.MPF-BLADE.57989 exited observer at their location.
[11:44:14]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:44:36]	Александр Климов entered observer.
[11:44:48]	Александр Климов exited observer at their location.
[11:44:49]	D8.MPF-BLADE.57989 used command '/PanelAdd https://get.wallhere.com/photo/Half-Life-Black-Mesa-1539703.jpg 10 25 50'.
[11:44:55]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:44:58]	D8.MPF-BLADE.57989 used command '/PanelAdd https://get.wallhere.com/photo/Half-Life-Black-Mesa-1539703.jpg 10 25 50'.
[11:45:01]	D8.MPF-BLADE.57989 has gained 100 tokens.
[11:45:02]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:45:12]	D8.MPF-BLADE.57989 used command '/PanelAdd https://get.wallhere.com/photo/Half-Life-Black-Mesa-1539703.jpg 15 25 50'.
[11:45:16]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:45:20]	D8.MPF-BLADE.57989 used command '/PanelAdd https://get.wallhere.com/photo/Half-Life-Black-Mesa-1539703.jpg 15 25 50'.
[11:45:21]	D8.MPF-BLADE.57989 entered observer.
[11:45:24]	D8.MPF-BLADE.57989 exited observer at their location.
[11:45:25]	D8.MPF-BLADE.57989 entered observer.
[11:45:27]	D8.MPF-BLADE.57989 exited observer at their location.
[11:45:34]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:45:37]	D8.MPF-BLADE.57989 entered observer.
[11:46:04]	D8.MPF-BLADE.57989 has spawned 'models/props_borealis/borealis_door001a.mdl'.
[11:46:08]	D8.MPF-BLADE.57989 has spawned 'models/props_c17/FurnitureDrawer003a.mdl'.
[11:46:12]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[11:46:28]	D8.MPF-BLADE.57989 used command '/PanelAdd https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c2/c2a155f566d2ea4bf0ae763b3b11b73bd8a89270_full.jpg 50 50 100'.
[11:46:36]	Александр Климов entered observer.
[11:46:43]	Александр Климов exited observer at their location.
[11:46:51]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:46:55]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:46:58]	Александр Климов entered observer.
[11:46:59]	Александр Климов exited observer at their location.
[11:46:59]	Александр Климов entered observer.
[11:47:04]	Александр Климов exited observer at their location.
[11:47:08]	Александр Климов has spawned 'models/props_c17/door01_left.mdl'.
[11:47:13]	D8.MPF-BLADE.57989 used command '/PanelAdd https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c2/c2a155f566d2ea4bf0ae763b3b11b73bd8a89270_full.jpg 50 50 100'.
[11:47:15]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:47:26]	D8.MPF-BLADE.57989 used command '/PanelAdd https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c2/c2a155f566d2ea4bf0ae763b3b11b73bd8a89270_full.jpg 60 30'.
[11:47:31]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:47:33]	Александр Климов has spawned 'models/props_c17/door01_left.mdl'.
[11:47:33]	D8.MPF-BLADE.57989 used command '/PanelAdd https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c2/c2a155f566d2ea4bf0ae763b3b11b73bd8a89270_full.jpg 60 30 70'.
[11:47:53]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:47:54]	Александр Климов ran 'Equip' on item 'M3 Super 90' (#189)
[11:47:56]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:48:37]	D8.MPF-BLADE.57989 used command '/PanelAdd https://ae01.alicdn.com/kf/HTB1SolLQVXXXXcTXFXXq6xXFXXXy/-.jpg 15 25 50'.
[11:48:47]	Александр Климов entered observer.
[11:48:47]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:48:50]	Александр Климов exited observer at their location.
[11:49:01]	D8.MPF-BLADE.57989 used command '/PanelAdd https://ae01.alicdn.com/kf/HTB1SolLQVXXXXcTXFXXq6xXFXXXy/-.jpg 13 25 50'.
[11:49:05]	Александр Климов entered observer.
[11:49:08]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:49:09]	Александр Климов exited observer at their location.
[11:49:11]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:49:25]	D8.MPF-BLADE.57989 used command '/PanelAdd https://ae01.alicdn.com/kf/HTB1SolLQVXXXXcTXFXXq6xXFXXXy/-.jpg 12 28 50'.
[11:49:29]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:49:38]	Александр Климов entered observer.
[11:49:38]	D8.MPF-BLADE.57989 used command '/PanelAdd https://ae01.alicdn.com/kf/HTB1SolLQVXXXXcTXFXXq6xXFXXXy/-.jpg 13 27 50'.
[11:49:38]	Александр Климов exited observer at their location.
[11:50:01]	D8.MPF-BLADE.57989 has gained 100 tokens.
[11:50:42]	Александр Климов has spawned 'models/props_c17/door01_left.mdl'.
[11:51:00]	D8.MPF-BLADE.57989 used command '/PanelAdd https://i.imgur.com/UJCZD3i.png 13 27 50'.
[11:51:03]	D8.MPF-BLADE.57989 exited observer at their location.
[11:51:04]	D8.MPF-BLADE.57989 entered observer.
[11:51:08]	D8.MPF-BLADE.57989 used command '/PanelRemove'.
[11:51:20]	Александр Климов has spawned 'models/props_c17/gate_door01a.mdl'.
[11:52:17]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:52:17]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:52:17]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:52:17]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:52:17]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:52:27]	D8.MPF-BLADE.57989 exited observer at their location.
[11:52:30]	D8.MPF-BLADE.57989 entered observer.
[11:52:32]	D8.MPF-BLADE.57989 exited observer at their location.
[11:52:35]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:52:35]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:52:35]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:52:35]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:52:35]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:52:38]	Александр Климов entered observer.
[11:52:39]	Александр Климов exited observer at their location.
[11:52:43]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:52:43]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:52:43]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:52:43]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:52:43]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:52:45]	D8.MPF-BLADE.57989 entered observer.
[11:52:49]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:52:49]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:52:49]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:52:49]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:52:50]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:52:56]	Александр Климов entered observer.
[11:52:58]	Александр Климов exited observer at their location.
[11:52:59]	D8.MPF-BLADE.57989 has spawned a 'Entity [1084][st_radio_desert_n]'.
[11:53:04]	D8.MPF-BLADE.57989 exited observer at their location.
[11:53:06]	D8.MPF-BLADE.57989 entered observer.
[11:53:07]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:07]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:53:07]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:07]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:07]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:07]	Александр Климов entered observer.
[11:53:08]	Александр Климов exited observer at their location.
[11:53:15]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:15]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:53:15]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:15]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:15]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:22]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:22]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:53:22]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:22]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:22]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:30]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:30]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:53:30]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:30]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:30]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:49]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:49]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:53:49]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:49]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:49]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:56]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:56]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:53:56]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:53:56]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:53:56]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:54:04]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:54:04]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:54:04]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:54:04]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:54:04]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:54:43]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:54:43]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:54:43]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:54:43]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:54:43]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:54:43]	Александр Климов entered observer.
[11:54:44]	Александр Климов exited observer at their location.
[11:55:01]	D8.MPF-BLADE.57989 has gained 100 tokens.
[11:55:04]	Александр Климов entered observer.
[11:55:12]	Александр Климов exited observer at their location.
[11:55:14]	Александр Климов entered observer.
[11:55:30]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:55:30]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:55:30]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:55:30]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:55:30]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:55:50]	Александр Климов exited observer at their location.
[11:55:55]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:55:55]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:55:55]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:55:55]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:55:55]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:55:55]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[11:55:57]	Александр Климов entered observer.
[11:55:57]	Александр Климов exited observer at their location.
[11:56:00]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:56:00]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:56:00]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:56:00]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:56:00]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:56:00]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[11:56:08]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:56:08]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:56:08]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:56:08]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:56:08]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:56:08]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[11:56:11]	Александр Климов entered observer.
[11:56:16]	Александр Климов exited observer at their location.
[11:56:28]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:56:28]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:56:28]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:56:28]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:56:28]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:56:28]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[11:56:34]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:56:34]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[11:56:34]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:56:34]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[11:56:34]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[11:56:34]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[11:56:38]	Александр Климов entered observer.
[11:56:49]	Александр Климов exited observer at their location.
[11:57:05]	D8.MPF-BLADE.57989 used command '/TextAdd Магазинчи'.
[11:57:12]	D8.MPF-BLADE.57989 used command '/TextRemove'.
[11:57:23]	Александр Климов entered observer.
[11:57:23]	Александр Климов exited observer at their location.
[11:57:59]	Александр Климов has spawned a 'Entity [1084][st_radio_desert_n]'.
[11:58:04]	Александр Климов has spawned a 'Entity [1108][st_radio_finetuned_n]'.
[11:58:19]	Александр Климов used command '/ActSit'.
[11:59:17]	Александр Климов used the 'Арина' vendor.
[11:59:27]	D8.MPF-BLADE.57989 used command '/TextAdd Магазинчик'.
[11:59:42]	Александр Климов used command '/ExitAct'.
[11:59:46]	Александр Климов used the 'Арина' vendor.
[11:59:56]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[11:59:57]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[11:59:58]	Александр Климов has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[11:59:59]	Александр Климов has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[11:59:59]	Александр Климов has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[12:00:00]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/blocks/cube025x3x025.mdl'.
[12:00:00]	Александр Климов has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:01]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:01]	D8.MPF-BLADE.57989 has gained 100 tokens.
[12:00:01]	Александр Климов has enabled persistence for 'models/hunter/blocks/cube025x3x025.mdl'.
[12:00:02]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:02]	Александр Климов has enabled persistence for 'models/hunter/plates/plate1x3.mdl'.
[12:00:05]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[12:00:05]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[12:00:06]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/blocks/cube025x3x025.mdl'.
[12:00:06]	Александр Климов has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:07]	Александр Климов has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[12:00:07]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:08]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:08]	Александр Климов has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[12:00:09]	Александр Климов has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:10]	Александр Климов has enabled persistence for 'models/hunter/blocks/cube025x3x025.mdl'.
[12:00:11]	Александр Климов has enabled persistence for 'models/hunter/plates/plate1x3.mdl'.
[12:00:18]	Александр Климов has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[12:00:19]	Александр Климов has enabled persistence for 'models/hunter/blocks/cube025x2x025.mdl'.
[12:00:19]	Александр Климов has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:20]	D8.MPF-BLADE.57989 has disabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:20]	Александр Климов has enabled persistence for 'models/hunter/blocks/cube025x3x025.mdl'.
[12:00:21]	Александр Климов has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:22]	Александр Климов has enabled persistence for 'models/hunter/plates/plate1x3.mdl'.
[12:00:23]	D8.MPF-BLADE.57989 has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[12:00:51]	D8.MPF-BLADE.57989 exited observer at their location.
[12:00:54]	D8.MPF-BLADE.57989 entered observer.
[12:00:56]	D8.MPF-BLADE.57989 exited observer at their location.
[12:00:57]	D8.MPF-BLADE.57989 has taken 5 damage from pipe_damage.
[12:00:57]	D8.MPF-BLADE.57989 entered observer.
[12:01:05]	D8.MPF-BLADE.57989 exited observer at their location.
[12:01:08]	D8.MPF-BLADE.57989 entered observer.
[12:01:18]	Александр Климов entered observer.
[12:01:19]	Александр Климов exited observer at their location.
[12:01:44]	D8.MPF-BLADE.57989 exited observer at their location.
[12:01:48]	Александр Климов has taken 5 damage from D8.MPF-BLADE.57989.
[12:01:48]	Александр Климов has taken 5 damage from D8.MPF-BLADE.57989.
[12:01:49]	Александр Климов has taken 5 damage from D8.MPF-BLADE.57989.
[12:02:03]	D8.MPF-BLADE.57989 entered observer.
[12:02:04]	D8.MPF-BLADE.57989 entered observer.
[12:02:08]	D8.MPF-BLADE.57989 exited observer at their location.
[12:02:09]	D8.MPF-BLADE.57989 has taken 22 damage from worldspawn.
[12:02:10]	D8.MPF-BLADE.57989 entered observer.
[12:02:39]	D8.MPF-BLADE.57989 exited observer at their location.
[12:02:40]	D8.MPF-BLADE.57989 entered observer.
[12:02:51]	֍ Aime-moi ֍ (STEAM_0:0:424879351) has disconnected.
[12:05:13]	Г@H3NK has connected.
[12:11:19]	Г@H3NK has connected.
[12:13:44]	֍ Aime-moi ֍ has connected.
[12:14:43]	֍ Aime-moi ֍ loaded the character 'D8.MPF-BLADE.57989'
[12:14:44]	D8.MPF-BLADE.57989 entered observer.
[12:14:45]	D8.MPF-BLADE.57989 exited observer at their location.
[12:14:57]	D8.MPF-BLADE.57989 used command '/CharEditBodygroup'.
[12:15:03]	D8.MPF-BLADE.57989 used command '/CharEditBodygroup MPF'.
[12:15:21]	D8.MPF-BLADE.57989 has changed D8.MPF-BLADE.57989's bodygroups.
[12:15:22]	D8.MPF-BLADE.57989 has changed D8.MPF-BLADE.57989's bodygroups.
[12:15:42]	D8.MPF-BLADE.57989 entered observer.
[12:16:19]	D8.MPF-BLADE.57989 exited observer at their location.
[12:19:43]	D8.MPF-BLADE.57989 has gained 100 tokens.
[12:22:14]	D8.MPF-BLADE.57989 entered observer.
[12:22:25]	D8.MPF-BLADE.57989 exited observer at their location.
[12:22:35]	D8.MPF-BLADE.57989 entered observer.
[12:22:53]	D8.MPF-BLADE.57989 exited observer at their location.
[12:22:55]	D8.MPF-BLADE.57989 entered observer.
[12:22:59]	D8.MPF-BLADE.57989 exited observer at their location.
[12:23:01]	D8.MPF-BLADE.57989 entered observer.
[12:23:03]	D8.MPF-BLADE.57989 exited observer at their location.
[12:23:04]	D8.MPF-BLADE.57989 entered observer.
[12:23:14]	D8.MPF-BLADE.57989 exited observer at their location.
[12:23:34]	֍ Aime-moi ֍ (STEAM_0:0:424879351) has disconnected.
[20:08:55]	Г@H3NK has connected.
[20:09:51]	Г@H3NK loaded the character 'Александр Климов'
[20:13:13]	Г@H3NK has connected.
[20:13:40]	Г@H3NK loaded the character 'Александр Климов'
[20:16:20]	Александр Климов used the 'Валерий' vendor.
[20:16:26]	Александр Климов used the 'Валерий' vendor.
[20:16:27]	Александр Климов has lost 8 tokens.
[20:16:27]	Александр Климов has gained a 'Наручкики' #193.
[20:17:05]	Александр Климов ran 'drop' on item 'Наручкики' (#193)
[20:17:05]	Александр Климов has lost a 'Наручкики' #193.
[20:17:11]	Александр Климов ran 'take' on item 'Наручкики' (#193)
[20:17:11]	Александр Климов has gained a 'Наручкики' #193.
[20:19:15]	Александр Климов has spawned 'models/Gibs/wood_gib01b.mdl'.
[20:20:13]	Александр Климов has spawned 'models/props_junk/khovellol.mdl'.
[20:20:19]	Александр Климов has spawned 'models/weapons/w_351.mdl'.
[20:20:24]	Александр Климов has spawned 'models/weapons/w_191145.mdl'.
[20:20:32]	Александр Климов has spawned 'models/weapons/w_p90.mdl'.
[20:20:35]	Александр Климов has spawned 'models/weapons/w_oc14_groza.mdl'.
[20:20:37]	Александр Климов has spawned 'models/weapons/w_phasedx.mdl'.
[20:20:38]	Александр Климов has spawned 'models/weapons/w_makaro.mdl'.
[20:20:40]	Александр Климов has spawned 'models/weapons/w_tetra.mdl'.
[20:20:43]	Александр Климов has spawned 'models/weapons/w_xm.mdl'.
[20:20:47]	Александр Климов has spawned 'models/weapons/w_xm8rifle.mdl'.
[20:20:50]	Александр Климов has spawned 'models/weapons/w_snip_hk416.mdl'.
[20:20:54]	Александр Климов has spawned 'models/weapons/w_shot_winch1300.mdl'.
[20:21:02]	Александр Климов has spawned 'models/weapons/w_mach_m60para.mdl'.
[20:21:07]	Александр Климов has spawned 'models/weapons/w_60watt.mdl'.
[20:21:10]	Александр Климов has spawned 'models/weapons/w_ak74su_mod.mdl'.
[20:21:14]	Александр Климов has spawned 'models/weapons/w_ak47.mdl'.
[20:21:17]	Александр Климов has spawned 'models/weapons/w_ak74.mdl'.
[20:21:20]	Александр Климов has spawned 'models/weapons/w_aa12.mdl'.
[20:21:21]	Александр Климов has spawned 'models/weapons/w_acr.mdl'.
[20:21:24]	Александр Климов has spawned 'models/weapons/w_ak47.mdl'.
[20:21:35]	Александр Климов has spawned 'models/weapons/w_beef_m3super90.mdl'.
[20:21:44]	Александр Климов has spawned 'models/props/cs_office/amariapc.mdl'.
[20:21:55]	Александр Климов has spawned 'models/citizen_radio.mdl'.
[20:22:15]	Александр Климов has spawned 'models/tnb/weapons/w_glock.mdl'.
[20:22:25]	Александр Климов has spawned 'models/dorado/tarjeta1.mdl'.
[20:22:27]	Александр Климов has spawned 'models/dorado/tarjeta2.mdl'.
[20:22:28]	Александр Климов has spawned 'models/dorado/tarjeta3.mdl'.
[20:22:29]	Александр Климов has spawned 'models/dorado/tarjeta4.mdl'.
[20:22:30]	Александр Климов has spawned 'models/dorado/tarjetazero.mdl'.
[20:22:32]	Александр Климов has spawned 'models/dorado/tarjeta2.mdl'.
[20:22:45]	Александр Климов has spawned 'models/dorado/tarjeta4.mdl'.
[20:22:57]	Александр Климов has spawned 'models/dorado/tarjeta1.mdl'.
[20:22:58]	Александр Климов has spawned 'models/dorado/tarjetazero.mdl'.
[20:23:02]	Александр Климов has spawned 'models/dorado/tarjeta2.mdl'.
[20:23:03]	Александр Климов has spawned 'models/dorado/tarjeta3.mdl'.
[20:23:06]	Александр Климов has spawned 'models/dorado/tarjeta2.mdl'.
[20:27:12]	Александр Климов has gained a 'И.К. Гражданина' #194.
[20:27:12]	Александр Климов used command '/CharGiveItem А cid'.
[20:27:22]	Александр Климов ran 'drop' on item 'И.К. Гражданина' (#194)
[20:27:22]	Александр Климов has lost a 'И.К. Гражданина' #194.
[20:31:59]	Г@H3NK has connected.
[20:32:24]	Г@H3NK loaded the character 'Александр Климов'
[20:34:06]	Александр Климов ran 'take' on item 'Ящик гильз' (#125)
[20:34:06]	Александр Климов has gained a 'Ящик гильз' #125.
[20:34:25]	Александр Климов entered observer.
[20:34:39]	Александр Климов exited observer at their location.
[20:34:39]	Александр Климов entered observer.
